id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,greek_letters,spect_desig,color,linecolor
25,25.0,224750.0,9077.0,,,,0.0053,-44.290561,81.367,58.36,-108.64,3.0,6.28,1.7280000000000002,G3IV,0.763,58.24309399999999,0.08087899999999999,-56.818381,-2.776e-05,2.298e-05,-3.282e-05,0.0013876607010597569,-0.7730161236388425,2.829372639722222e-07,-5.26701582e-07,,,Phe,1,25,,17.733726245425586,,,,,G,#FFD423,#FFD423
34,34.0,224758.0,9078.0,,,,0.006638,26.918108,74.6269,42.2,-53.47,0.0,6.43,2.066,F7.5IV-V,0.514,66.54131,0.11565399999999999,33.784832,8.73e-06,1.528e-05,-1.725e-05,0.001737862174515451,0.4698096167386025,2.0459137319444445e-07,-2.59229874e-07,,,Peg,1,34,,12.989726288978545,,,,,F,#d4bf94,#d4bf94
43,43.0,224784.0,9079.0,,,,0.008593,59.559679,136.2398,-80.6,-24.07,-33.0,6.18,0.508,G9III-IV,1.032,69.024292,0.155048,117.45988999999999,-3.27e-06,-5.324e-05,-3.715e-05,0.0022496078515178816,1.0395125049217948,-3.907598265277777e-07,-1.16694652e-07,,,Cas,1,43,,54.550658817037316,,,,,G,#FFD423,#FFD423
50,50.0,224782.0,,,,,0.009533,-53.097713,59.4177,52.98,-20.52,0.0,6.49,2.62,G1IV,0.616,35.677374,0.08909700000000001,-47.513999,-4.76e-06,1.525e-05,-3.55e-06,0.002495807475019636,-0.9267299094829612,2.568542879583333e-07,-9.9483767e-08,,,Phe,1,50,,7.798301105232586,,,,,G,#FFD423,#FFD423
63,63.0,224801.0,9080.0,,,,0.012119,45.253334,187.9699,17.38,0.22,-3.0,6.36,-0.01,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-2.35e-06,1.583e-05,-2.04e-06,0.0031728632804047053,0.7898196673326625,8.426061768055557e-08,1.06659e-09,,,And,1,63,,87.90225168308842,CG,6.382000000000001,6.322,,B,#93C2F1,#93C2F1
88,88.0,224834.0,9081.0,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.71,-0.588,G8III,0.9109999999999999,119.736878,0.5623560000000001,-136.823418,9.9e-07,-1.579e-05,-1.008e-05,0.0046969598121488895,-0.8518930353430763,-8.687861155555554e-08,-3.2724922999999996e-08,Tau,,Phe,1,88,,149.69248567600363,,,,τ,G,#FFD423,#FFD423
106,106.0,224870.0,9083.0,,,,0.022012999999999998,49.981558,199.6008,13.29,-11.19,-20.0,6.22,-0.281,G7II-III,0.97,128.34788400000002,0.7397199999999999,152.861641,-4.93e-06,1.283e-05,-2.263e-05,0.005763021777708776,0.8723427473068125,6.443173814583334e-08,-5.425065e-08,,,Cas,1,106,,112.82361216489923,,,,,G,#FFD423,#FFD423
107,107.0,224865.0,9082.0,,,,0.022255,-50.337373,166.3894,7.34,10.59,2.0,5.53,-0.5760000000000001,M2III,1.615,106.198875,0.618768,-128.089244,7.85e-06,5.97e-06,3.88e-06,0.005826258371586336,-0.87855289975953,3.5585324152777786e-08,5.1341767999999996e-08,,,Phe,1,107,,148.04713248976262,,,,,M,#FF2620,#FF2620
122,122.0,224889.0,9084.0,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.78,0.6629999999999999,K2III,1.254,14.902031,0.103716,-64.888859,-5.004e-05,-1.859e-05,-3.671e-05,0.006968083353942813,-1.3450506304308112,-2.7401669224999995e-07,-8.57877807e-07,The,,Oct,1,122,,47.29334149186517,,,,θ,K,#F99220,#F99220
124,124.0,224893.0,9085.0,,,,0.026949,61.222801000000004,943.3962,-2.8,-1.34,-23.0,5.58,-4.293,F0III,0.40700000000000003,454.144163,3.204116,826.885007,-5.86e-06,-1.285e-05,-2.357e-05,0.0070552932206482625,1.0685394491555988,-1.3574783055555555e-08,-6.496503e-09,,,Cas,1,124,,4541.507126325551,,,,,F,#d4bf94,#d4bf94
128,128.0,224890.0,,,,,0.027597000000000003,73.611846,70.7714,75.54,-12.36,-8.0,6.5,2.251,Am...,0.182,19.96712,0.144423,67.896054,1.57e-06,2.593e-05,-9.05e-06,0.0072247594972250535,1.2847690896740125,3.662282542916667e-07,-5.992297e-08,,,Cep,1,128,,10.954687673339961,,,,,A,#f3e8d3,#f3e8d3
137,137.0,224906.0,9086.0,,,,0.028847,42.367144,374.5318,5.11,-1.77,-11.0,6.25,-1.617,B9IIIp Mn,-0.042,276.71182200000004,2.089808,252.38897799999998,-6.22e-06,9.23e-06,-9.96e-06,0.007552068772316919,0.7394461549144825,2.4773979076388893e-08,-8.581201999999999e-09,,,And,1,137,,386.18908944898993,,,,,B,#93C2F1,#93C2F1
145,145.0,224926.0,9087.0,,29    Psc,,0.030402,-3.027504,139.2758,18.9,-10.25,23.0,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907000000001,2.302e-05,1.294e-05,-8.15e-06,0.007959311760624218,-0.052839908817267495,9.1629785625e-08,-4.9693402e-08,,29.0,Psc,1,145,,149.830421062266,,,,,B,#93C2F1,#93C2F1
154,154.0,224935.0,9089.0,,30    Psc,,0.032672,-6.0140720000000005,132.4503,46.62,-41.32,-12.0,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167000000002,-1.524e-05,2.98e-05,-2.51e-05,0.008553478676206407,-0.104965358843855,2.26020137875e-07,-2.0032501199999998e-07,,30.0,Psc,1,154,,272.8977782808041,YY,4.418,4.308,,M,#FF2620,#FF2620
171,171.0,224930.0,9088.0,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.5404279999999995,-9.99e-06,4.584e-05,-6.577e-05,0.00946108171981008,0.4726745357978474,3.7747108354375e-06,-4.454080246e-06,,85.0,Peg,1,171,Gl 914,0.6171631684555837,,,,,G,#FFD423,#FFD423
183,183.0,224990.0,9091.0,,Zet Scl,,0.038867,-29.720414,154.0832,9.66,14.0,8.6,5.04,-0.899,B4V,-0.15,133.807455,1.36158,-76.389577,1.275e-05,7.35e-06,4.72e-06,0.010175252788763491,-0.5187190791032438,4.683300154166666e-08,6.787391499999999e-08,Zet,,Scl,1,183,,199.34254564980927,,,,ζ,B,#93C2F1,#93C2F1
186,186.0,224995.0,9092.0,,31    Psc,,0.040046,8.956824000000001,122.8501,-0.87,-4.11,11.0,6.33,0.883,A6V,0.182,121.345487,1.272247,19.126563,1.15e-05,-4e-07,-6.7e-07,0.010484117093558568,0.15632606164888252,-4.2178790208333325e-09,-1.9925842000000002e-08,,31.0,Psc,1,186,,38.618908944898976,,,,,A,#f3e8d3,#f3e8d3
194,194.0,225003.0,9093.0,,32    Psc,,0.041583999999999996,8.485463000000001,36.9004,-93.55,-47.5,10.0,5.7,2.865,F0V,0.315,36.494389,0.397318,5.44498,1.155e-05,-1.661e-05,-6.89e-06,0.010886699497016102,0.1480992689931425,-4.5354319815972223e-07,-2.3028649800000003e-07,,32.0,Psc,1,194,,6.223002851691593,,,,,F,#d4bf94,#d4bf94
